qua 26 jan 2022 22:02:36 -03
Population 337 Fitness -47816 Error 2.727
Population 338 Fitness -47745 Error 3.030
Population 339 Fitness -47447 Error 3.030
Population 340 Fitness -47571 Error 2.121
Population 341 Fitness -47556 Error 2.424
Population 342 Fitness -47496 Error 2.727
Population 343 Fitness -47445 Error 2.121
Population 344 Fitness -47420 Error 2.727
Population 345 Fitness -47463 Error 3.636
Population 346 Fitness -47608 Error 2.424
Population 347 Fitness -47450 Error 3.030
Population 348 Fitness -47746 Error 2.121
Population 349 Fitness -47649 Error 3.333
Population 350 Fitness -47215 Error 2.424
Population 351 Fitness -47484 Error 1.515
Population 352 Fitness -47253 Error 3.030
Population 353 Fitness -47309 Error 3.333
Population 354 Fitness -47221 Error 3.636
Population 355 Fitness -47179 Error 3.030
Population 356 Fitness -47309 Error 2.727
Population 357 Fitness -47232 Error 3.030
Population 358 Fitness -47216 Error 3.030
Population 359 Fitness -47380 Error 1.818
Population 360 Fitness -47388 Error 2.424
Population 361 Fitness -47223 Error 3.333
Population 362 Fitness -47279 Error 2.727
Population 363 Fitness -47366 Error 2.424
Population 364 Fitness -47381 Error 2.424
Population 365 Fitness -47224 Error 2.424
Population 366 Fitness -47279 Error 2.727
Population 367 Fitness -47302 Error 2.424
Population 368 Fitness -47248 Error 2.727
Population 369 Fitness -47220 Error 3.030
Population 370 Fitness -47240 Error 2.424
Population 371 Fitness -47335 Error 2.727
Population 372 Fitness -47150 Error 3.030
Population 373 Fitness -47150 Error 3.333
Population 374 Fitness -47296 Error 3.333
Population 375 Fitness -47006 Error 2.424
Population 376 Fitness -46975 Error 3.030
Population 377 Fitness -47035 Error 3.636
Population 378 Fitness -47037 Error 3.333
Population 379 Fitness -47228 Error 2.727
Population 380 Fitness -47335 Error 2.424
Population 381 Fitness -47394 Error 3.030
Population 382 Fitness -47177 Error 2.727
Population 383 Fitness -47221 Error 2.424
Population 384 Fitness -47329 Error 2.424
Population 385 Fitness -47210 Error 2.121
Population 386 Fitness -46955 Error 4.242
Population 387 Fitness -47195 Error 3.939
Population 388 Fitness -47162 Error 3.333
Population 389 Fitness -46930 Error 3.636
Population 390 Fitness -46783 Error 2.727
Population 391 Fitness -46956 Error 3.333
Population 392 Fitness -46953 Error 2.727
Population 393 Fitness -46919 Error 3.030
Population 394 Fitness -47043 Error 2.727
Population 395 Fitness -46652 Error 2.424
Population 396 Fitness -47059 Error 2.424
Population 397 Fitness -46860 Error 2.727
Population 398 Fitness -46695 Error 2.121
Population 399 Fitness -46730 Error 1.818
Population 400 Fitness -46805 Error 2.121
Population 401 Fitness -46752 Error 2.727
Population 402 Fitness -46772 Error 3.333
Population 403 Fitness -46681 Error 2.727
Population 404 Fitness -46719 Error 2.424
Population 405 Fitness -46744 Error 2.121
Population 406 Fitness -46924 Error 2.727
Population 407 Fitness -46827 Error 2.424
Population 408 Fitness -46846 Error 2.727
Population 409 Fitness -46746 Error 2.727
Population 410 Fitness -46700 Error 2.727
Population 411 Fitness -46623 Error 3.333
Population 412 Fitness -46652 Error 3.030
Population 413 Fitness -46725 Error 1.818
Population 414 Fitness -46715 Error 3.333
Population 415 Fitness -46641 Error 2.727
Population 416 Fitness -46537 Error 2.121
Population 417 Fitness -46591 Error 3.030
Population 418 Fitness -46518 Error 2.121
Population 419 Fitness -46535 Error 3.030
Population 420 Fitness -46731 Error 2.727
Population 421 Fitness -46501 Error 2.424
Population 422 Fitness -46835 Error 2.727
Population 423 Fitness -46687 Error 2.424
Population 424 Fitness -46608 Error 1.818
Population 425 Fitness -46775 Error 2.727
